,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
917,P,KOM,G1,SMP,LL,BPN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
918,P,KOM,G4,SMP,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
919,P,KOM,G3,SMP,LL,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
920,P,KOM,G4,SMTA,PS,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
921,P,KOM,G3,SMTA,PNS,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
922,P,KOM,G5,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
923,P,KOM,G1,SMTA,PDG,BPN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
924,L,KOM,G1,LL,PDG,BPN,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
925,P,KOM,G4,SMTA,PNS,PNS,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
926,P,KOM,G3,SRJN,PS,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
